componentid,Stockwerk,Raum,Bemerkung,FI,Leiter,Gruppe,Sicherung,Relais,Dimmer,Ausgang,Eingang,Kabel Info,Typ,Info ,Beschr. ,Stockwerk,SPS Position im array
65,Erdgeschoss,Bad,Bad Wand 2/2,,L2,,S8,direkt,D2.2,R2M7Sl0Pr2,,,LD,Licht schwarz => nicht angehängt im Bad,Bad Wand,OG,
66,Keller,Heizraum,Pumpe Zirkulation WW,,L1,K-HEIZ01,S21,R14,,R0M2Sl0Pr13,,,PD,Dose,Pumpe Zirkulation WW,KG,
67,Obergeschoß,Aussen,Licht Balkon West,,aussen,,SAussen,R70.2,,R3M5Sl0Pr12,,,,Licht,Balkon West,OG,118
68,Keller,Heizraum,Licht Hozlraum,,L1,K-HEIZ01,S21,R15,,R0M2Sl0Pr14,,,DO,Dose,Stellantrieb Mischer 1,KG,
69,Erdgeschoss,Wohnzimmer,Dose Nordwand 1,,L3,,S4,R16,,,,,,Dose,,EG,
70,Keller,Wohnzimmer,Dose Nordwand 1/3,,L1,K-HEIZ01,S4,R16,,R0M2Sl0Pr15,,,,,,EG,
71,Obergeschoß,Büro,Taster Gang bei KZ Süd,,,,,,,,R2M1Sl0Pr08,,,Taster,Gang bei KZ Süd,OG,
72,Erdgeschoss,Wohnzimmer,Dose Nordwand 2,,L3,,S4,R17,,,,,,Dose,,EG,
73,Keller,Heizraum,Dose Nordwand 2/3,,L1,K-HEIZ01,S4,R17,,R0M4Sl0Pr0,,,,,,KG,
74,Obergeschoß,Büro,Dose Bei Balkontüre,,L1,O-DO05,S15,R1,,R2M6Sl0Pr04,,,,Dose,Bei Balkontüre,OG,
75,Erdgeschoss,Wohnzimmer,Dose Nordwand 3,,L3,,S4,R18,,,,,,Dose,,EG,
76,Keller,Heizraum,Dose Nordwand 3/3,,L1,K-HEIZ01,S4,R18,,R0M4Sl0Pr1,,,,,,KG,
77,Obergeschoß,Büro,Dose bei Kamin,,L1,O-DO05,S15,R2,,R2M6Sl0Pr03,,,,Dose,bei Kamin,OG,
78,Obergeschoß,Büro,Dose bei Kamin,,L1,O-DO05,S15,R3,,R2M6Sl0Pr02,,,,Dose,bei Kamin,OG,
79,Obergeschoß,Büro,Dose bei Kamin,,L1,O-DO05,S15,R4,,R2M6Sl0Pr01,,,,Dose,bei Kamin,OG,
80,Keller,Holzraum,K-DO08 (hinten) (Pumpe Grauwasser),,L1,K-INFRA01,S22,R19,,R0M4Sl0Pr2,,,DO,Dose,geschalten für Pumpe,KG,
81,Obergeschoß,Lounge,Licht Wand (3 auslässe) Bodenfluter bei KZ-braun,,L2,O-LI06,S6,R43,,R2M6Sl0Pr11,,,,Licht,Wand (3 auslässe) Bodenfluter bei KZ-braun,OG,
82,Keller,Werkstatt 1 ,Licht vorne,,L1,K-LI01,S20,R2,,R0M2Sl0Pr1,,,LS,Licht,,EG,
