componentid,Stockwerk,Raum,Bemerkung,FI,Leiter,Gruppe,Sicherung,Relais,Dimmer,Ausgang,Eingang,Kabel Info,Typ,Info ,Beschr. ,Stockwerk,SPS Position im array
392,Obergeschoß,Kinderzimmer Süd,Taster Taster rechts,,,,,,,,R2M1Sl0Pr09,,,Taster,Taster rechts,OG,
393,Obergeschoß,Kinderzimmer Süd,Dose bei Balkontüre,,L3,O-DO06,S2,R100,,R3M3Sl0Pr14,,,,Dose,bei Balkontüre,OG,
394,Obergeschoß,Kinderzimmer Süd,Dose oben 1,,L3,O-DO06,S2,R101,,R3M3Sl0Pr13,,,,Dose,oben 1,OG,
395,Obergeschoß,Kinderzimmer Süd,Dose oben 2,,L3,O-DO06,S2,R102,,R3M3Sl0Pr12,,,,Dose,oben 2,OG,
396,Obergeschoß,Kinderzimmer Süd,Dose bei Innentüre,,L3,O-DO06,S2,R103,,R3M3Sl0Pr11,,,,Dose,bei Innentüre,OG,
397,Obergeschoß,Kinderzimmer Süd,Taster oben 1,,,,,,,,R2M1Sl0Pr12??,,,Taster,oben 1,OG,
398,Obergeschoß,Kinderzimmer Süd,Taster oben2,,,,,,,,R2M1Sl0Pr13??,,,Taster,oben2,OG,
399,Obergeschoß,Kinderzimmer Süd,Taster Bett/Balkon,,,,,,,,R2M1Sl0Pr4,,,Taster,Bett/Balkon,OG,
400,Obergeschoß,Kinderzimmer Süd,Dose,,L3,O-DO06,S2,R104,,R3M3Sl0Pr10,,,,Dose,,OG,
401,Obergeschoß,Kinderzimmer Süd,Dose,,L3,O-DO06,S2,R105,,R3M3Sl0Pr9,,,,Dose,,OG,
402,Obergeschoß,Kinderzimmer Süd,Dose,,L3,O-DO06,S2,R106,,R3M3Sl0Pr8,,,,Dose,,OG,
403,Obergeschoß,Kinderzimmer Süd,Licht Hauptlicht,,,,S12,R16,,R2M4Sl0Pr05,,,,Licht,Hauptlicht,OG,
404,Obergeschoß,Kinderzimmer Süd,Licht Leselicht Bett,,,,S12,R15,,R2M4Sl0Pr04,,,,Licht,Leselicht Bett,OG,
405,Obergeschoß,Kinderzimmer Süd,Dose bei Kamin,,L3,O-DO03,S1,R66,,R2M2Sl0Pr01,,,,Dose,bei Kamin,OG,
406,Obergeschoß,Kinderzimmer Süd,Licht,,L1,O-LI03,S12,R-S12.01,,R3M7Sl0Pr5,,,,Licht,,OG,
407,Obergeschoß,Kinderzimmer Süd,Licht,,L1,O-LI03,S12,R-S12.02,,R3M7Sl0Pr6,,,,Licht,,OG,
408,Obergeschoß,Kinderzimmer Süd,Fensterkontakt,,,,,,,,R2M1Sl0Pr5,,,Fensterkontakt,,OG,
409,Obergeschoß,Büro,Sound ev. 5.1 ??,,,,,,,,,,,Sound,ev. 5.1 ??,NoSPS,
410,Obergeschoß,Kinderzimmer Süd,Fensterkontakt InnenTür,,,,,,,,R2M3Sl0Pr03,,,Fensterkontakt,InnenTür,OG,
411,Obergeschoß,Kinderzimmer Süd,Fensterkontakt,,,,,,,,R2M1Sl0Pr6,,,Fensterkontakt,,OG,
412,Obergeschoß,Büro,Netzwerk,,,,,,,,,,,Netzwerk,,NoSPS,
413,Obergeschoß,Kinderzimmer Süd,Rauchmelder,,,,,,,,R2M1Sl0Pr11,,,Rauchmelder,,OG,
414,Obergeschoß,Kinderzimmer Süd (Spiel),Temp 7.00,,,,,,,,R2M0Sl0Pr2,,,Temp,7.00,OG,
415,Obergeschoß,Kinderzimmer Süd,Dose oben 2,,,,S2,R98,,R3M3Sl0Pr15,,,,Dose,oben 2,OG,
416,Obergeschoß,Kinderzimmer Süd,Dose oben 1,,,,S2,R99,,R3M5Sl0Pr0,,,,Dose,oben 1,OG,
417,Erdgeschoss,Küche,Licht Küche Kochinsel,,L3,E-LI02,S4,R55,,R2M2Sl0Pr12,,,LS,Licht,Küche Kochinsel,OG,
418,Erdgeschoss,Küche,Licht Küche Herd,,L3,E-LI02,S4,R56,,R2M2Sl0Pr11,,,LS,Licht,Küche Herd,OG,
419,Erdgeschoss,Küche,Licht Küche Abwasch,,L3,E-LI02,S4,R57,,R2M2Sl0Pr10,,,LS,Licht,Küche Abwasch,OG,
420,Erdgeschoss,Küche,Licht Speis,,L3,E-LI02,S4,R58,,R2M2Sl0Pr09,,,LS,Licht,Speis,OG,
421,Obergeschoß,Leseraum,Dose Nord,,,,S3,R109,,R3M3Sl0Pr5,,,,Dose,Nord,OG,
422,Obergeschoß,Leseraum,Dose Nord,,,,S3,R110,,R3M3Sl0Pr4,,,,Dose,Nord,OG,
423,Obergeschoß,Leseraum,Dose Südwand links,,,,S3,R111,,R3M3Sl0Pr3,,,,Dose,Südwand links,OG,
424,Obergeschoß,Leseraum,Dose Südwand rechts,,,,S3,,,R3M3Sl0Pr?,ev zwei doppelt gelegt?,,,Dose,Südwand rechts,OG,
425,Obergeschoß,Schlafzimmer,Licht LED Leiste an der Wand zum Bad,,,,S3,R112,,R3M3Sl0Pr2,,,,Licht,LED Leiste an der Wand zum Bad,OG,180
426,Obergeschoß,Schlafzimmer,Licht Wand zu Bad,,,,S3,R113,,R3M3Sl0Pr1,,,,Licht,Wand zu Bad,OG,182
427,Obergeschoß,Leseraum,Licht Dimmbar Decke 2,,L2,,S7,direkt 24V,,R3M7Sl0Pr11,,,,Licht Dimmbar,Decke 2,OG,183
428,Obergeschoß,Leseraum,Dose Beamer,,,,S4,R115,,R3M1Sl0Pr15,,,,Dose,Beamer,OG,
429,Obergeschoß,Leseraum,Licht Decke,,L2,,S7,R39,,R2M6Sl0Pr15,,,,Licht,Decke,OG,181
430,Obergeschoß,Leseraum,Fensterkontakt Dachfenster,,,,,,,,,,,Fensterkontakt,Dachfenster,OG,
431,Obergeschoß,Reserve,Reserve,,,,S9,R30,,R3M1Sl0Pr0,,,,Reserve,Reserve,OG,
432,Obergeschoß,Reserve,Reserve,,L2,,S7,R41,,R2M6Sl0Pr13,,,,Reserve,Reserve,OG,
433,Obergeschoß,Reserve,Reserve,,L2,,S7,R42,,R2M6Sl0Pr12,,,,Reserve,Reserve,OG,
434,Obergeschoß,Elternbad,Blumengießanlage,,,,,,,,,,,Blumengießanlage,,NoSPS,
435,Obergeschoß,Reserve,Reserve,,L2,,S6,R46,,R2M6Sl0Pr08,,,,Reserve,Reserve,OG,
436,Obergeschoß,Reserve,Reserve,,L2,,S6,R47,,R2M6Sl0Pr07,,,,Reserve,Reserve,OG,
437,Obergeschoß,Elternbad,Netzwerk,,,,,,,,,,,Netzwerk,,NoSPS,
438,Obergeschoß,Reserve,Reserve,,L2,,S6,R48,,R2M6Sl0Pr06,,,,Reserve,Reserve,OG,
439,Obergeschoß,Reserve,Reserve,,,,S5,R52,,R2M2Sl0Pr15,,,,Reserve,Reserve,OG,
440,Obergeschoß,Reserve,Reserve,,,,S5,R53,,R2M2Sl0Pr14,,,,Reserve,Reserve,OG,
441,Obergeschoß,Schlafzimmer,Taster Balkon,,,,,,,,R2M5Sl0Pr08,,,Taster,Balkon,OG,
442,Obergeschoß,Schlafzimmer,Taster Bei Bad 2,,,,,,,,R2M5Sl0Pr11,,,Taster,Bei Bad 2,OG,
443,Obergeschoß,Kinderzimmer Süd,Sound,,,,,,,,,,,Sound,,NoSPS,
444,Obergeschoß,Kinderzimmer Süd,Blumengießanlage,,,,,,,,,,,Blumengießanlage,,NoSPS,
445,Obergeschoß,Kinderzimmer Süd,Netzwerk,,,,,,,,,,,Netzwerk,,NoSPS,
446,Obergeschoß,Schlafzimmer,Dose Ost,,L2,O-DO04,S10,R19,,R3M1Sl0PR11,,,,Dose,Ost,OG,177
447,Obergeschoß,Schlafzimmer,Dose Ost,,L2,O-DO04,S10,R20,,R3M1Sl0PR10,,,,Dose,Ost,OG,184
448,Obergeschoß,Schlafzimmer,Dose Süd,,L2,O-DO04,S16,R201,,R3M5Sl0Pr5,,,,Dose,Süd,OG,
449,Obergeschoß,Schlafzimmer,Dose Zirbenwand links,,,,S16,R203,,R3M5Sl0Pr3,,,,Dose,Zirbenwand links,OG,
450,Obergeschoß,Schlafzimmer,Dose Zirbenwand rechts,,,,S16,R204,,R3M5Sl0Pr2,,,,Dose,Zirbenwand rechts,OG,
451,Obergeschoß,Schlafzimmer,Dose Nord,,L2,O-DO04,S14,R304,,R3M7Sl0Pr02,,,,Dose,Nord,OG,
452,Obergeschoß,Schlafzimmer,Licht Decke (Istanbul),,L2,O-LI04,S7,R40,,R2M6Sl0Pr14,,,,Licht,Decke (Istanbul),OG,
453,Obergeschoß,Schlafzimmer,Licht Balkon,,,,Saussen,RA5,,,,,,Licht,Balkon,OG,
454,Obergeschoß,Schlafzimmer,Dose ??,,L2,O-DO04,S10,,,,,,,Dose,??,OG,
455,Obergeschoß,Schlafzimmer,Licht Dimmbar Leselampe R,,L2,O-LI04,S7,direkt 24V,,R3M7Sl0Pr12,,,,Licht Dimmbar,Leselampe R,OG,
456,Obergeschoß,Schlafzimmer,Licht Dimmbar Leselampe L,,L2,O-LI04,S7,direkt 24V,,R3M7Sl0Pr13,,,,Licht Dimmbar,Leselampe L,OG,
457,Obergeschoß,Schlafzimmer,Fensterkontakt,,,,,,,,,,,Fensterkontakt,,OG,
458,Obergeschoß,Schlafzimmer,Fensterkontakt Tür,,,,,,,,,,,Fensterkontakt,Tür,OG,
459,Obergeschoß,Schlafzimmer,Fensterkontakt Fenster,,,,,,,,,,,Fensterkontakt,Fenster,OG,
460,Obergeschoß,Schlafzimmer,Taster Bett R,,,,,,,,R3M0Sl0Pr0,,,Taster,Bett R,OG,
461,Obergeschoß,Schlafzimmer,Taster Bett L 1,,,,,,,,R3M0Sl0Pr01,,,Taster,Bett L 1,OG,
462,Obergeschoß,Schlafzimmer,Taster Bett L 2,,,,,,,,R3M0Sl0Pr02,,,Taster,Bett L 2,OG,
463,Obergeschoß,Schlafzimmer,Taster Bett L 3,,,,,,,,R3M0Sl0Pr03,,,Taster,Bett L 3,OG,
464,Obergeschoß,Schlafzimmer,Taster Bett L 4,,,,,,,,R3M0Sl0Pr04,,,Taster,Bett L 4,OG,
465,Obergeschoß,Schlafzimmer,Taster Bei Bad 1,,,,,,,,R3M0Sl0Pr05,,,Taster,Bei Bad 1,OG,
466,Obergeschoß,Ankleide,Temp 7.04,,,,,,,,R2M0Sl1Pr0,,,Temp,7.04,OG,119
467,Erdgeschoss,Wohnzimmer,Licht Wohnz. Decke,,L3,E-LI02,S4,R59,D3.1,R2M2Sl0Pr08,,,LS,Licht,Wohnz. Decke,OG,
468,Erdgeschoss,Wohnzimmer,Licht Wand WZ von oben kommend 1,,L1,,S13,R6,D1.1,R2M4Sl0Pr15,,,LD,Licht Dimmbar,Wand,OG,
469,Erdgeschoss,Wohnzimmer,Licht Esszimmer Decke,,L3,E-LI02,S4,R60,D3.2,R2M2Sl0Pr07,,,LS,Licht,Esszimmer Decke,OG,
470,Erdgeschoss,Wohnzimmer,Licht Wand WZ von oben kommend 2,,L1,E-LIW01,S13,R7,D1.2,R2M4Sl0Pr14,,,LD,Licht Dimmbar,Wand,OG,
471,Erdgeschoss,Wohnzimmer,,,,,,,,,,,IR,IR,Wohnzimmer,OG,
472,,,???? (oranges kabel 1 anschluss),,,,,,,,R0M5Sl0Pr14,,,,,,
473,,,oranges kabel zwei anschlüsse,,,,,,,,R0M9Sl0Pr10,,,,,,
474,,,oranges kabel zwei anschlüsse,,,,,,,,R0M9Sl0Pr14,,,,,,
475,,,oranges kabel zwei anschlüsse,,,,,,,,R0M9Sl0Pr15,,,,,,
476,,,oranges kabel zwei anschlüsse,,,,,,,,R0M9Sl0Pr9,,,,,,
,,,,,,,,,,,,,,Gesamt:,#REF!,,
